x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
5.524921,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
5.458728,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
5.404646,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
5.362847,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
5.333424,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
5.316384,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
5.311650,-5.250000,5.200000,5.250000,-0.000000,0.000000,8.000000,0.000000
5.319050,-5.250000,5.200000,5.250000,-0.000000,0.000000,8.000000,0.000000
5.338317,-5.250000,5.200000,5.250000,-0.000000,0.000000,8.000000,0.000000
5.369086,-5.250000,5.250000,5.200000,0.000000,0.000000,8.000000,-8.000000
